Energy consumed for RAM,RAM Power,Energy consumed for all GPUs,Total GPU Power,Energy consumed for all CPUs,Total CPU Power,Electricity used since the beginning
0.002244,4.485667705535889,0.098951,198.0622907328609,0.016263,32.5,0.117458
0.002263,4.485667705535889,0.099782,198.43903566663633,0.016400,32.5,0.118445
0.002282,4.485667705535889,0.100607,198.10461378624083,0.016535,32.5,0.119424
0.002301,4.485667705535889,0.101432,197.92966045102565,0.016670,32.5,0.120403
0.002319,4.485667705535889,0.102263,198.55693351399086,0.016806,32.5,0.121389
0.002338,4.485667705535889,0.103089,197.71754256217298,0.016942,32.5,0.122369
0.002357,4.485667705535889,0.103903,195.24458720631802,0.017078,32.5,0.123338
0.002376,4.485667705535889,0.104734,197.9790440770306,0.017214,32.5,0.124324
0.002394,4.485667705535889,0.105560,198.21820401794696,0.017350,32.5,0.125304
0.002413,4.485667705535889,0.106388,198.7273601466429,0.017485,32.5,0.126286
0.002432,4.485667705535889,0.107218,199.07051411664006,0.017621,32.5,0.127270
0.002450,4.485667705535889,0.108041,197.79060601046282,0.017756,32.5,0.128248
0.002469,4.485667705535889,0.108867,197.70195310941924,0.017892,32.5,0.129228
0.002488,4.485667705535889,0.109695,198.71269624004822,0.018027,32.5,0.130210
0.002506,4.485667705535889,0.110508,195.01903517478928,0.018162,32.5,0.131177
0.002525,4.485667705535889,0.111337,197.8546745322237,0.018299,32.5,0.132161
0.002544,4.485667705535889,0.112161,197.7449754543954,0.018434,32.5,0.133139
0.002563,4.485667705535889,0.112987,198.2650882561356,0.018570,32.5,0.134119
0.002581,4.485667705535889,0.113813,198.3276239303242,0.018705,32.5,0.135099
0.002600,4.485667705535889,0.114645,199.09026492495096,0.018841,32.5,0.136086
0.002619,4.485667705535889,0.115477,198.2982162070323,0.018977,32.5,0.137073
0.002638,4.485667705535889,0.116310,198.5770572173305,0.019113,32.5,0.138061
0.002656,4.485667705535889,0.117122,195.01259804848985,0.019249,32.5,0.139028
0.002675,4.485667705535889,0.117947,197.93662860010392,0.019384,32.5,0.140006
0.002694,4.485667705535889,0.118773,198.3560299347856,0.019520,32.5,0.140987
0.002712,4.485667705535889,0.119598,197.44434654679014,0.019655,32.5,0.141966
0.002731,4.485667705535889,0.120424,198.34766629382472,0.019791,32.5,0.142946
0.002750,4.485667705535889,0.121256,198.71355006890647,0.019927,32.5,0.143933
0.002769,4.485667705535889,0.122082,198.09966313678808,0.020062,32.5,0.144913
0.002787,4.485667705535889,0.122907,198.01492181054815,0.020198,32.5,0.145892
0.002806,4.485667705535889,0.123727,195.58232088752982,0.020334,32.5,0.146867
0.002825,4.485667705535889,0.124552,198.18121242201505,0.020470,32.5,0.147847
0.002843,4.485667705535889,0.125379,198.34391564929766,0.020605,32.5,0.148827
0.002862,4.485667705535889,0.126209,199.27030417965938,0.020740,32.5,0.149812
0.002881,4.485667705535889,0.127034,197.99330112019385,0.020876,32.5,0.150790
0.002900,4.485667705535889,0.127860,198.30176118865646,0.021011,32.5,0.151771
0.002918,4.485667705535889,0.128686,198.21363866996595,0.021147,32.5,0.152751
0.002937,4.485667705535889,0.129512,198.2341366274133,0.021282,32.5,0.153731
0.002956,4.485667705535889,0.130329,196.14489714047943,0.021417,32.5,0.154702
0.002974,4.485667705535889,0.131159,197.7749257040572,0.021554,32.5,0.155687
0.002993,4.485667705535889,0.131982,197.55689950574927,0.021689,32.5,0.156665
0.003012,4.485667705535889,0.132813,198.62186019676477,0.021825,32.5,0.157650
0.003031,4.485667705535889,0.133638,197.96001766501658,0.021961,32.5,0.158629
0.003049,4.485667705535889,0.134465,198.47050044161148,0.022096,32.5,0.159610
0.003068,4.485667705535889,0.135288,197.59276019491176,0.022232,32.5,0.160588
0.003087,4.485667705535889,0.136114,197.66337311846013,0.022367,32.5,0.161568
0.003105,4.485667705535889,0.136934,196.42663255463117,0.022503,32.5,0.162543
0.003124,4.485667705535889,0.137762,198.84049601401128,0.022639,32.5,0.163525
0.003143,4.485667705535889,0.138591,198.76629249661445,0.022774,32.5,0.164507
0.003161,4.485667705535889,0.139416,198.0343001137128,0.022909,32.5,0.165486
0.003180,4.485667705535889,0.140241,198.1347676635663,0.023045,32.5,0.166466
0.003199,4.485667705535889,0.141069,198.78852002805883,0.023180,32.5,0.167448
0.003218,4.485667705535889,0.141894,197.92551578946586,0.023316,32.5,0.168427
0.003236,4.485667705535889,0.142710,195.85251598022788,0.023451,32.5,0.169397
0.003255,4.485667705535889,0.143534,197.8193117639772,0.023586,32.5,0.170375
0.003274,4.485667705535889,0.144360,198.3103663645473,0.023722,32.5,0.171356
0.003292,4.485667705535889,0.145191,198.04917480109282,0.023858,32.5,0.172341
0.003311,4.485667705535889,0.146017,198.3794478956297,0.023994,32.5,0.173322
0.003330,4.485667705535889,0.146840,197.54752308673548,0.024129,32.5,0.174299
0.003349,4.485667705535889,0.147667,198.49643428923207,0.024264,32.5,0.175280
0.003367,4.485667705535889,0.148493,198.06608221337746,0.024400,32.5,0.176260
0.003386,4.485667705535889,0.149312,196.630285175736,0.024535,32.5,0.177233
0.003405,4.485667705535889,0.150139,198.57543575267704,0.024671,32.5,0.178214
0.003423,4.485667705535889,0.150967,198.63794111212113,0.024806,32.5,0.179196
0.003442,4.485667705535889,0.151793,198.41962754254146,0.024942,32.5,0.180177
0.003461,4.485667705535889,0.152617,197.78016363261005,0.025077,32.5,0.181155
0.003479,4.485667705535889,0.153442,197.82083979492745,0.025212,32.5,0.182133
0.003498,4.485667705535889,0.154268,198.404161378647,0.025348,32.5,0.183114
0.003517,4.485667705535889,0.155097,198.2145950341028,0.025484,32.5,0.184097
0.003535,4.485667705535889,0.155910,195.21353620929864,0.025619,32.5,0.185064
0.003554,4.485667705535889,0.156734,197.7058636270505,0.025754,32.5,0.186042
0.003573,4.485667705535889,0.157559,198.07515338503586,0.025890,32.5,0.187022
0.003592,4.485667705535889,0.158390,199.43681334813328,0.026025,32.5,0.188007
0.003610,4.485667705535889,0.159217,198.47193222173865,0.026161,32.5,0.188988
